name,price,currency,image_url,image_location
ACI Pure Salt 1 kg,42,BDT,https://chaldn.com/_mpimage/aci-pure-salt-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D47100&q=best&v=1&m=400&webp=1,images/ACI_Pure_Salt_1_kg.jpg
Fresh Super Premium (Vacuum) Salt 1 kg,42,BDT,https://chaldn.com/_mpimage/fresh-super-premium-vacuum-salt-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128654&q=best&v=1&m=400&webp=1,images/Fresh_Super_Premium_Vacuum_Salt_1_kg.jpg
AJI-NO-MOTO Monosodium Glutamate 200 gm,95,BDT,https://chaldn.com/_mpimage/aji-no-moto-monosodium-glutamate-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D92745&q=best&v=1&m=400&webp=1,images/AJI-NO-MOTO_Monosodium_Glutamate_200_gm.jpg
Fresh Refined Sugar 1 kg,110,BDT,https://chaldn.com/_mpimage/fresh-refined-sugar-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113128&q=best&v=1&m=400&webp=1,images/Fresh_Refined_Sugar_1_kg.jpg
Teer Sugar 1 kg,110,BDT,https://chaldn.com/_mpimage/teer-sugar-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101003&q=best&v=1&m=400&webp=1,images/Teer_Sugar_1_kg.jpg
ACI Pure Salt 500 gm,22,BDT,https://chaldn.com/_mpimage/aci-pure-salt-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D57736&q=best&v=1&m=400&webp=1,images/ACI_Pure_Salt_500_gm.jpg
Starship Refined Sugar 1 kg,110,BDT,https://chaldn.com/_mpimage/starship-refined-sugar-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174230&q=best&v=1&m=400&webp=1,images/Starship_Refined_Sugar_1_kg.jpg
55 Sugar Candy (Tal Misri) 200 gm,39,BDT,https://chaldn.com/_mpimage/sugar-candy-tal-misri-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48011&q=best&v=1&m=400&webp=1,images/55_Sugar_Candy_Tal_Misri_200_gm.jpg
Rock Salt (Bit Lobon) 100 gm,55,BDT,https://chaldn.com/_mpimage/rock-salt-bit-lobon-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D138598&q=best&v=1&m=400&webp=1,images/Rock_Salt_Bit_Lobon_100_gm.jpg
ACI Sprinkle Salt & Pepper Mix 100 gm,125,BDT,https://chaldn.com/_mpimage/aci-sprinkle-salt-pepper-mix-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174550&q=best&v=1&m=400&webp=1,images/ACI_Sprinkle_Salt__Pepper_Mix_100_gm.jpg
AJI-NO-MOTO Monosodium Glutamate 40 gm,20,BDT,https://chaldn.com/_mpimage/aji-no-moto-monosodium-glutamate-40-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128507&q=best&v=1&m=400&webp=1,images/AJI-NO-MOTO_Monosodium_Glutamate_40_gm.jpg
Saad Bit Salt 100 gm,50,BDT,https://chaldn.com/_mpimage/saad-bit-salt-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131576&q=best&v=1&m=400&webp=1,images/Saad_Bit_Salt_100_gm.jpg
Pran Iodized Salt 1 kg,42,BDT,https://chaldn.com/_mpimage/pran-iodized-salt-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132238&q=best&v=1&m=400&webp=1,images/Pran_Iodized_Salt_1_kg.jpg
420 Sis White Icing Sugar 500 gm,359,BDT,https://chaldn.com/_mpimage/sis-white-icing-sugar-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133672&q=best&v=1&m=400&webp=1,images/420_Sis_White_Icing_Sugar_500_gm.jpg
AJI-NO-MOTO Monosodium Glutamate 100 gm,50,BDT,https://chaldn.com/_mpimage/aji-no-moto-monosodium-glutamate-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123203&q=best&v=1&m=400&webp=1,images/AJI-NO-MOTO_Monosodium_Glutamate_100_gm.jpg
Sis Brown Sugar 800 gm,759,BDT,https://chaldn.com/_mpimage/sis-brown-sugar-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133670&q=best&v=1&m=400&webp=1,images/Sis_Brown_Sugar_800_gm.jpg
Sis White Sugar Cube 454 gm,500,BDT,https://chaldn.com/_mpimage/sis-white-sugar-cube-454-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176580&q=best&v=1&m=400&webp=1,images/Sis_White_Sugar_Cube_454_gm.jpg
